"Country","Medium Size Projects","Large Size Projects"
"Afghanistan","1500","3000"
"Albania","1500","3000"
"Algeria","1500","3000"
"Andorra","2100","4200"
"Angola","1500","3000"
"Antigua and Barbuda","2400","4800"
"Argentina","1500","3000"
"Armenia","1500","3000"
"Australia","3300","6600"
"Austria","2700","5400"
"Azerbaijan","1500","3000"
"Bahamas, The","2400","4800"
"Bahrain","1500","3000"
"Bangladesh","1500","3000"
"Barbados","3300","6600"
"Belarus","1500","3000"
"Belgium","2700","5400"
"Belize","1800","3600"
"Benin","1500","3000"
"Bermuda","3300","6600"
"Bhutan","1500","3000"
"Bolivia","1500","3000"
"Bosnia-Herzegovina","1500","3000"
"Botswana","1500","3000"
"Brazil","1500","3000"
"Brunei Darussalam","1500","3000"
"Bulgaria","1500","3000"
"Burkina Faso","1500","3000"
"Burundi","1500","3000"
"Cabo Verde","1500","3000"
"Cambodia","1500","3000"
"Cameroon","1500","3000"
"Canada","3000","6000"
"Central African Republic","1500","3000"
"Chad","1500","3000"
"Chile","1800","3600"
"China","1800","3600"
"Colombia","1500","3000"
"Comoros","1500","3000"
"Congo, Dem. Rep.","1500","3000"
"Congo, Rep.","1800","3600"
"Costa Rica","1500","3000"
"Cote d'Ivoire","1500","3000"
"Croatia","1500","3000"
"Cyprus","2100","4200"
"Czech Republic","1800","3600"
"Denmark","3000","6000"
"Djibouti","1800","3600"
"Dominica","1800","3600"
"Dominican Republic","1500","3000"
"Ecuador","1500","3000"
"Egypt","1500","3000"
"El Salvador","1500","3000"
"Equatorial Guinea","1500","3000"
"Eritrea","1500","3000"
"Estonia","1800","3600"
"Eswatini","1500","3000"
"Ethiopia","1500","3000"
"Fiji","1500","3000"
"Finland","3000","6000"
"France","2700","5400"
"Gabon","1500","3000"
"Gambia, The","1500","3000"
"Georgia","1500","3000"
"Germany","2700","5400"
"Ghana","1500","3000"
"Greece","1800","3600"
"Grenada","1800","3600"
"Guatemala","1500","3000"
"Guinea","1500","3000"
"Guinea-Bissau","1500","3000"
"Guyana","1500","3000"
"Haiti","1800","3600"
"Honduras","1500","3000"
"Hong Kong","2400","4800"
"Hungary","1500","3000"
"Iceland","3300","6600"
"India","1500","3000"
"Indonesia","1500","3000"
"Iraq","1500","3000"
"Ireland","2700","5400"
"Israel","3300","6600"
"Italy","2400","4800"
"Jamaica","1500","3000"
"Japan","2700","5400"
"Jordan","1500","3000"
"Kazakhstan","1500","3000"
"Kenya","1500","3000"
"Kiribati","2100","4200"
"Kosovo","1500","3000"
"Kuwait","1500","3000"
"Kyrgyz Republic","1500","3000"
"Lao PDR","1500","3000"
"Latvia","1800","3600"
"Lebanon","1500","3000"
"Lesotho","1500","3000"
"Liberia","1500","3000"
"Libya","1500","3000"
"Lithuania","1500","3000"
"Luxembourg","3000","6000"
"Macao SAR, China","1800","3600"
"Madagascar","1500","3000"
"Malawi","1500","3000"
"Malaysia","1500","3000"
"Maldives","1500","3000"
"Mali","1500","3000"
"Malta","2100","4200"
"Marshall Islands","3000","6000"
"Mauritania","1500","3000"
"Mauritius","1500","3000"
"Mexico","1500","3000"
"Micronesia, Fed. Sts.","3000","6000"
"Moldova","1500","3000"
"Mongolia","1500","3000"
"Montenegro","1500","3000"
"Morocco","1500","3000"
"Mozambique","1500","3000"
"Myanmar","1500","3000"
"Namibia","1500","3000"
"Nepal","1500","3000"
"Netherlands","2700","5400"
"New Zealand","3300","6600"
"Nicaragua","1500","3000"
"Niger","1500","3000"
"Nigeria","1500","3000"
"North Macedonia","1500","3000"
"Norway","3300","6600"
"Oman","1500","3000"
"Pakistan","1500","3000"
"Palau","2700","5400"
"Panama","1500","3000"
"Papua New Guinea","2100","4200"
"Paraguay","1500","3000"
"Peru","1500","3000"
"Philippines","1500","3000"
"Poland","1500","3000"
"Portugal","2100","4200"
"Puerto Rico","2700","5400"
"Qatar","2100","4200"
"Romania","1500","3000"
"Russian Federation","1500","3000"
"Rwanda","1500","3000"
"Samoa","1800","3600"
"Sao Tome and Principe","1800","3600"
"Saudi Arabia","1500","3000"
"Senegal","1500","3000"
"Serbia","1500","3000"
"Seychelles","1500","3000"
"Sierra Leone","1500","3000"
"Singapore","1800","3600"
"Slovak Republic","1800","3600"
"Slovenia","2100","4200"
"Solomon Islands","2700","5400"
"Somalia","3000","1500"
"South Africa","1500","3000"
"South Korea","2100","4200"
"South Sudan","2700","5400"
"Spain","2100","4200"
"Sri Lanka","1500","3000"
"St. Kitts and Nevis","2100","4200"
"St. Lucia","2100","4200"
"St. Vincent and the Grenadines","1800","3600"
"Sudan","1500","3000"
"Suriname","1500","3000"
"Swaziland","1500","3000"
"Sweden","3000","6000"
"Switzerland","3300","6600"
"Taiwan","1500","3000"
"Tajikistan","1500","3000"
"Tanzania","1500","3000"
"Thailand","1500","3000"
"Timor-Leste","1500","3000"
"Togo","1500","3000"
"Tonga","2100","4200"
"Trinidad and Tobago","1800","3600"
"Tunisia","1500","3000"
"Turkey","1500","3000"
"Turkmenistan","1500","3000"
"Turks and Caicos Islands","3000","6000"
"Tuvalu","3000","6000"
"Uganda","1500","3000"
"Ukraine","1500","3000"
"United Arab Emirates","1500","3000"
"United Kingdom","3000","6000"
"United States","3000","6000"
"Uruguay","2100","4200"
"Uzbekistan","1500","3000"
"Vanuatu","3000","6000"
"Venezuela","1800","3600"
"Vietnam","1500","3000"
"West Bank and Gaza","1800","3600"
"Yemen, Rep.","1500","3000"
"Zambia","1500","3000"
"Zimbabwe","2100","4200"
