"Country","Small Size","Medium Size","Large Size"
"Afghanistan","750","1500","3000"
"Albania","750","1500","3000"
"Algeria","750","1500","3000"
"Andorra","1050","2100","4200"
"Angola","750","1500","3000"
"Antigua and Barbuda","1200","2400","4800"
"Argentina","750","1500","3000"
"Armenia","750","1500","3000"
"Australia","1650","3300","6600"
"Austria","1350","2700","5400"
"Azerbaijan","750","1500","3000"
"Bahamas, The","1200","2400","4800"
"Bahrain","750","1500","3000"
"Bangladesh","750","1500","3000"
"Barbados","1650","3300","6600"
"Belarus","750","1500","3000"
"Belgium","1350","2700","5400"
"Belize","900","1800","3600"
"Benin","750","1500","3000"
"Bermuda","1650","3300","6600"
"Bhutan","750","1500","3000"
"Bolivia","750","1500","3000"
"Bosnia-Herzegovina","750","1500","3000"
"Botswana","750","1500","3000"
"Brazil","750","1500","3000"
"Brunei Darussalam","750","1500","3000"
"Bulgaria","750","1500","3000"
"Burkina Faso","750","1500","3000"
"Burundi","750","1500","3000"
"Cabo Verde","750","1500","3000"
"Cambodia","750","1500","3000"
"Cameroon","750","1500","3000"
"Canada","1500","3000","6000"
"Central African Republic","750","1500","3000"
"Chad","750","1500","3000"
"Chile","900","1800","3600"
"China","900","1800","3600"
"Colombia","750","1500","3000"
"Comoros","750","1500","3000"
"Congo, Dem. Rep.","750","1500","3000"
"Congo, Rep.","900","1800","3600"
"Costa Rica","750","1500","3000"
"Cote d'Ivoire","750","1500","3000"
"Croatia","750","1500","3000"
"Cyprus","1050","2100","4200"
"Czech Republic","900","1800","3600"
"Denmark","1500","3000","6000"
"Djibouti","900","1800","3600"
"Dominica","900","1800","3600"
"Dominican Republic","750","1500","3000"
"Ecuador","750","1500","3000"
"Egypt","750","1500","3000"
"El Salvador","750","1500","3000"
"Equatorial Guinea","750","1500","3000"
"Eritrea","750","1500","3000"
"Estonia","900","1800","3600"
"Eswatini","750","1500","3000"
"Ethiopia","750","1500","3000"
"Fiji","750","1500","3000"
"Finland","1500","3000","6000"
"France","1350","2700","5400"
"Gabon","750","1500","3000"
"Gambia, The","750","1500","3000"
"Georgia","750","1500","3000"
"Germany","1350","2700","5400"
"Ghana","750","1500","3000"
"Greece","900","1800","3600"
"Grenada","900","1800","3600"
"Guatemala","750","1500","3000"
"Guinea","750","1500","3000"
"Guinea-Bissau","750","1500","3000"
"Guyana","750","1500","3000"
"Haiti","900","1800","3600"
"Honduras","750","1500","3000"
"Hong Kong","1200","2400","4800"
"Hungary","750","1500","3000"
"Iceland","1650","3300","6600"
"India","750","1500","3000"
"Indonesia","750","1500","3000"
"Iraq","750","1500","3000"
"Ireland","1350","2700","5400"
"Israel","1650","3300","6600"
"Italy","1200","2400","4800"
"Jamaica","750","1500","3000"
"Japan","1350","2700","5400"
"Jordan","750","1500","3000"
"Kazakhstan","750","1500","3000"
"Kenya","750","1500","3000"
"Kiribati","1050","2100","4200"
"Kosovo","750","1500","3000"
"Kuwait","750","1500","3000"
"Kyrgyz Republic","750","1500","3000"
"Lao PDR","750","1500","3000"
"Latvia","900","1800","3600"
"Lebanon","750","1500","3000"
"Lesotho","750","1500","3000"
"Liberia","750","1500","3000"
"Libya","750","1500","3000"
"Lithuania","750","1500","3000"
"Luxembourg","1500","3000","6000"
"Macao SAR, China","900","1800","3600"
"Madagascar","750","1500","3000"
"Malawi","750","1500","3000"
"Malaysia","750","1500","3000"
"Maldives","750","1500","3000"
"Mali","750","1500","3000"
"Malta","1050","2100","4200"
"Marshall Islands","1500","3000","6000"
"Mauritania","750","1500","3000"
"Mauritius","750","1500","3000"
"Mexico","750","1500","3000"
"Micronesia, Fed. Sts.","1500","3000","6000"
"Moldova","750","1500","3000"
"Mongolia","750","1500","3000"
"Montenegro","750","1500","3000"
